letter	frequency
2012-7	104.36
2012-8	995.90
2013-2	3900.00
2013-3	11076.10
2013-4	1534.95
2013-5	2733.76
2013-6	2248.20
2013-7	1803.53
2013-8	7107.18
2013-9	1679.80
2013-10	1569.27
2013-11	1795.64
2013-12	3673.42
2014-1	1834.80
2014-2	1841.59
2014-3	1513.56
2014-4	138.01
2014-5	2836.31
